School Unit Name,Elementary School Cases,Middle School Cases,High School Cases,Gender,Reporting Date
Great Oak Secondary School,584,730,545,M,13-07-2020
Monarch Charter School,946,567,780,F,01-09-2019
Alphabetz,253,519,512,F,04-08-2019
Destined College,179,913,659,F,10-05-2020
Westview Middle School,636,312,124,M,08-06-2019
Westview Kindergarten,726,10,1,M,19-03-2019
Start Smart,541,549,708,M,14-12-2020
Monarch Charter School,196,257,931,M,24-12-2019
Eagle Mountain University,341,538,892,F,30-01-2020
Elk Grove Middle School,972,32,950,F,28-06-2020
Accelerated Academy,850,627,686,M,01-05-2019
Institute For Knowledge,167,992,702,F,17-04-2020
Timber Creek Secondary School,899,433,791,M,25-02-2019
Wagon Wheel School,170,419,230,M,29-12-2020
Prioritize Primary,35,813,265,F,10-06-2019
Headstart,438,125,511,M,07-04-2019
Meadows University,953,313,957,M,08-04-2020
Wisdom Academy,58,552,586,M,18-01-2019
Great Oak Secondary School,17,737,525,M,23-01-2019
Whale Gulch Middle School,413,52,103,F,26-05-2020
Oak Grove Middle School,687,574,843,M,18-12-2019
Granite Bay School,330,371,951,F,27-04-2020
Great Oak University,895,212,526,F,09-07-2019
Kinderhaus,557,468,121,F,02-04-2020
Willow School for Girls,288,580,555,M,06-02-2020
Oakwood Grammar School,538,343,576,M,07-09-2019
Eagle Mountain College,133,572,92,F,27-08-2020
Monarch College,12,45,322,M,20-08-2020
We Care Childcare,399,665,906,M,28-09-2020
Laugh n’ Learn,264,332,496,M,07-06-2020
Kids in Action,233,119,582,F,04-06-2020
Cream de la Creme,576,504,734,F,07-04-2020
Rainbow High,130,880,358,M,24-07-2019
Green Sprout,804,548,431,F,18-03-2020
Children’s Den,20,649,6,F,11-03-2020
Cream de la Creme,535,117,930,F,11-05-2019
Apple Valley High,552,559,450,M,25-02-2019
Westview Kindergarten,336,362,406,M,27-12-2019
Monarch College,756,666,39,M,25-05-2019
Prioritize Primary,556,930,508,M,22-04-2019
Oakwood School of Fine Arts,205,95,338,M,04-10-2020
Eastwood High,540,886,396,F,03-04-2019
Westside Grammar School,209,822,737,M,20-09-2020
Stonewall Charter School,466,527,468,M,08-02-2020
Vivid Canyon,618,893,153,F,31-08-2020
Westview Middle School,336,807,945,M,07-07-2019
Promise Conservatory,460,160,68,M,04-11-2020
Golden Oak Secondary School,511,346,298,M,29-12-2020
Whee Preschool,331,439,50,M,18-09-2019
New Opportunties,895,665,468,F,22-08-2019
Emirate College,27,225,73,F,18-03-2020
Northview Institute,849,709,830,M,10-02-2020
Foundations Academy,107,662,18,M,07-11-2020
Hercules School of Fine Arts,898,826,739,F,02-06-2019
Tulip Tree,910,492,991,M,20-07-2020
Start Smart,382,732,989,M,29-11-2020
Pioneer School for Girls,550,422,233,M,16-01-2019
Laugh n’ Learn,737,9,81,M,06-05-2020
Alphabet Kids,717,524,132,F,25-09-2020
Eagle Mountain University,589,347,488,F,06-08-2019
Amazing Alaska,338,185,964,M,28-11-2020
Superstars,241,584,220,M,29-09-2020
Laugh n’ Learn,323,531,662,M,14-05-2019
Chalkboard Champions,619,195,800,M,04-06-2019
Star Reachers,474,705,393,M,19-12-2019
Straight A Academy,831,235,285,M,23-11-2020
Passion Education,425,805,296,F,03-01-2020
Superstars,302,683,799,M,01-01-2019
Elk Grove Middle School,485,265,457,F,04-11-2020
Alphabetz,830,627,9,F,27-07-2020
Chalkboard Champions,762,565,474,F,05-09-2019
Alphabet Kids,866,761,490,F,01-02-2020
Laugh n’ Learn,303,29,52,M,14-08-2019
Heroes College,774,820,421,F,03-03-2019
Great Oak University,274,593,31,F,06-12-2019
Green Sprout,751,141,409,M,01-03-2019
Headstart,700,768,400,M,19-11-2020
Alphabet Kids,344,55,410,F,27-03-2020
Oak Grove Middle School,211,16,840,M,24-07-2020
Children’s Den,473,385,222,M,04-10-2019
Accelerated Academy,928,345,418,M,11-09-2019
Whee Preschool,510,942,80,M,07-07-2019
Riverdale College,191,575,699,F,17-08-2020
Eulogia Academy,862,682,310,M,01-01-2019
Destined College,84,539,489,M,09-09-2020
Star Reachers,843,479,489,F,18-11-2020
Milestones Preparatory School,68,593,93,F,24-04-2019
Whee Preschool,622,864,856,M,19-05-2020
Granite Bay School,175,403,443,M,06-02-2020
Great Oak University,142,541,553,M,27-07-2019
Creating Champions,128,356,144,F,09-10-2019
Children’s Den,877,79,9,F,26-11-2019
Oak Grove Middle School,421,432,704,F,15-09-2019
Timber Creek Secondary School,773,21,68,M,30-06-2020
Foothill School for Boys,152,802,860,M,20-11-2020
Institute For Knowledge,776,895,726,F,24-04-2019
Green Sprout,333,323,595,F,17-07-2019
Enterprise School,362,82,381,M,03-08-2020
Laugh n’ Learn,96,333,283,M,11-08-2020
Portside School,586,162,264,M,18-07-2020
Camelot Kids,16,531,666,M,04-01-2019
Big Pine Grammar School,269,923,613,F,11-03-2020
Apple Valley High,263,96,819,M,22-01-2019
Heroes College,547,58,299,M,26-09-2020
Promise Conservatory,743,665,473,M,02-07-2020
Stronger Scholars,132,429,582,M,28-10-2020
Stonewall Charter School,541,543,156,F,24-01-2020
Wisdom Academy,340,683,560,F,25-02-2019
Leaders In Learning,314,741,111,F,05-03-2020
Monarch Charter School,911,892,694,F,08-04-2020
Bright Future,178,382,646,F,24-02-2019
Timber Creek Secondary School,154,134,896,F,06-08-2020
Creating Champions,996,340,274,M,30-10-2020
New Opportunties,825,828,551,F,04-11-2020
Five Star Students,907,778,957,M,16-03-2019
Martin Luther King University,397,451,904,M,05-01-2019
Hercules School of Fine Arts,306,638,504,F,12-06-2019
Willow Creek College,765,525,492,F,16-09-2019
Learning Tree,649,548,243,M,16-11-2019
Straight A Academy,254,811,75,M,29-03-2019
Enterprise School,612,165,999,M,27-03-2019
Great Oak University,190,494,216,F,14-09-2019
Destined College,695,772,698,M,27-06-2019
Fortuna Conservatory,439,735,156,F,14-09-2019
Stronger Scholars,563,141,696,M,10-09-2019
Willow Creek College,46,203,483,F,19-04-2019
Creating Champions,908,280,878,M,30-01-2020
Willow Creek College,632,57,306,M,17-05-2019
Eastwood High,112,887,659,M,03-11-2020
Little Green Tree House,618,251,612,F,09-05-2019
Prioritize Primary,284,344,322,M,12-02-2020
Riverdale College,612,190,602,M,24-09-2020
Star Reachers,699,782,733,M,10-07-2019
Schooled In Success,745,936,7,M,10-06-2020
Wisdom Academy,521,53,351,F,26-09-2020
Prioritize Primary,432,632,342,F,02-04-2019
Little Feats,731,771,422,M,30-07-2020
Creating Champions,184,310,449,F,30-05-2020
Better Change,406,558,172,M,20-07-2019
Patriot Secondary School,544,654,809,M,10-07-2019
Oakwood Grammar School,975,472,844,M,13-10-2020
Whee Preschool,631,630,30,M,27-03-2019
Schooled In Success,921,54,390,F,15-11-2019
Desert Sands High,960,405,733,F,21-12-2019
Golden Oak Secondary School,474,893,739,M,25-06-2019
Enterprise School,476,411,306,M,08-11-2019
Open Skies,258,211,928,F,15-06-2019
Start Smart,558,967,302,F,14-04-2019
Leaders In Learning,905,461,288,M,11-09-2020
Children’s Den,435,48,321,F,21-08-2019
Passion Education,459,651,727,F,19-07-2019
Martin Luther King University,18,370,297,F,08-05-2020
Open Skies,751,405,154,F,06-07-2020
Somerset Technical School,549,777,34,M,20-02-2019
Promise Conservatory,731,892,291,M,29-07-2019
Vivid Canyon,542,90,828,F,10-12-2019
Foundations Academy,297,678,753,F,03-01-2021
Grounded To Grow,920,503,693,M,08-07-2020
Wagon Wheel School,572,586,666,F,14-11-2019
Alphabet Kids,743,317,85,F,21-11-2020
Alphabet Kids,419,808,875,M,19-09-2019
Northview Institute,62,999,629,F,06-08-2020
Ravenwood High,43,861,617,M,23-04-2020
Bright Future,659,477,414,M,11-11-2020
Bright Future,834,442,801,F,22-01-2020
Golden Oak Secondary School,703,428,536,M,10-03-2019
Grounded To Grow,961,334,866,M,30-06-2019
Institute For Knowledge,937,441,367,M,21-09-2019
Meadows University,458,320,711,F,22-03-2019
Children’s Den,573,24,507,M,10-07-2020
Whee Preschool,38,604,465,M,20-01-2019
Green Sprout,752,786,513,M,03-04-2020
Amazing Alaska,904,282,471,F,25-01-2019
Eagle Mountain School of Fine Arts,136,607,81,M,31-08-2020
Headstart,707,224,420,F,18-04-2020
Hercules School of Fine Arts,154,219,279,M,27-11-2019
Forward Thinking,985,62,338,F,09-11-2020
Sunny Coast Middle School,612,226,860,F,03-09-2019
Fortuna Conservatory,107,968,621,F,17-11-2020
Whale Gulch Middle School,78,889,129,M,27-11-2020
Monarch College,493,63,959,F,11-09-2019
Alphabet Kids,814,900,303,M,15-12-2020
Big Pine Grammar School,826,446,218,M,05-02-2020
Start Smart,940,919,522,F,01-10-2019
All About Kids,423,496,61,F,23-07-2019
Desert Sands High,244,828,365,M,26-12-2020
Great Oak University,905,796,127,F,15-09-2019
Start Smart,602,913,855,F,16-05-2019
Leaders In Learning,829,538,760,M,06-03-2019
Timber Creek Secondary School,363,924,107,F,27-10-2020
Vivid Canyon,795,417,779,M,12-02-2020
Westview Kindergarten,971,243,414,F,07-10-2020
STEM PreSchool,967,629,661,F,25-09-2019
Golden Oak Secondary School,739,65,236,F,21-06-2019
STEM PreSchool,156,574,500,F,16-08-2020
Somerset Technical School,910,233,311,F,19-07-2020
Baby Stars,111,932,255,F,24-02-2019
Chalkboard Champions,240,670,2,F,04-04-2020
Eastside Kindergarten,108,664,179,M,14-01-2019
Creating Champions,938,515,197,F,29-05-2020
Eagle Mountain University,162,397,390,F,16-06-2020
Golden Oak Secondary School,710,31,89,F,11-03-2019
Children’s Den,350,612,564,M,31-05-2019
Ravenwood High,464,495,597,M,21-10-2019
Desert Sands High,204,431,695,M,13-04-2020
True Sunshine,918,58,266,F,24-05-2020
Star Reachers,532,701,219,M,17-06-2019
Accelerated Academy,471,792,989,M,07-10-2020
Whee Preschool,243,524,963,M,15-05-2020
Littlewood School of Fine Arts,531,975,737,M,13-02-2019
New Opportunties,680,751,560,F,22-05-2019
Pioneer School for Girls,468,413,965,M,21-07-2019
New Opportunties,732,869,745,F,29-06-2019
Great Oak University,905,247,37,F,05-03-2020
Promise Conservatory,578,504,447,M,25-02-2020
Rainbow High,201,694,399,F,29-10-2020
Somerset Technical School,433,86,580,F,17-11-2020
Learning Tree,847,121,21,F,05-05-2020
Oakwood School of Fine Arts,787,299,983,F,21-11-2020
Schooled In Success,315,527,485,M,02-01-2021
Martin Luther King University,520,233,815,F,12-04-2019
Cypress University,209,260,585,F,13-04-2020
Camelot Kids,437,432,23,F,09-04-2020
Spring Gardens School,804,250,652,M,12-03-2020
Better Change,781,720,671,F,23-03-2020
Better life,861,484,179,F,12-11-2019
Superstars,279,560,859,F,07-12-2020
Maple Ridge School for Boys,706,686,582,M,03-04-2019
Monarch Charter School,223,96,959,F,24-04-2020
Stronger Scholars,542,366,365,F,30-08-2019
Apple Valley High,773,757,974,F,10-07-2019
Monarch College,370,228,518,M,09-04-2019
Forward Thinking,756,332,409,F,28-02-2019
Bright Future,530,603,100,F,24-06-2019
Westview Middle School,610,406,924,F,01-12-2020
Start Smart,106,481,606,M,29-06-2019
We Care Childcare,663,719,98,F,03-11-2019
Star Reachers,311,756,61,F,13-01-2020
Bright Future,178,240,134,F,24-12-2020
Kids in Action,540,258,412,F,28-12-2020
Institute For Knowledge,661,205,557,M,24-04-2019
Head Of The Class,783,402,512,F,01-12-2019
Patriot Secondary School,561,361,828,F,30-07-2019
Broad River University,58,115,679,M,17-03-2019
Cream de la Creme,611,986,671,F,14-04-2020
Baby Stars,428,932,158,F,19-11-2019
Camelot Kids,307,528,536,M,17-08-2019
Spring Gardens School,812,880,272,M,12-03-2020
Northview Institute,990,575,699,F,03-06-2020
Country Day School,86,668,676,F,15-07-2019
Prioritize Primary,355,614,466,F,15-10-2019
Martin Luther King University,640,604,896,F,02-08-2020
Prioritize Primary,290,639,172,M,15-10-2019
Sunny Coast Middle School,725,633,117,F,10-11-2019
Meadows University,271,251,618,F,16-02-2020
Cypress Conservatory,675,318,635,F,20-09-2020
Northview Institute,528,589,18,F,25-08-2019
Martin Luther King University,991,969,300,M,15-12-2020
Crestview School,940,441,556,F,14-02-2020
Five Star Students,817,682,310,F,16-07-2019
Eastside Kindergarten,389,587,25,M,07-11-2020
Headstart,577,882,22,M,31-03-2020
Forward Thinking,9,676,152,F,19-03-2020
Emirate College,400,459,402,M,03-10-2019
Granite Bay School,412,431,676,F,25-01-2020
Eagle Mountain University,206,605,845,F,11-08-2019
Promise Conservatory,712,582,35,F,11-04-2019
Foothill School for Boys,555,293,953,M,09-02-2020
Hercules School of Fine Arts,67,707,945,F,16-06-2019
Five Star Students,172,5,292,F,01-09-2019
True Sunshine,221,860,889,F,17-01-2019
Spring Gardens School,60,372,459,F,07-04-2019
Destined College,779,754,522,M,02-07-2020
Better Tomorrow,19,229,210,F,01-02-2020
Willow School for Girls,408,602,943,F,21-04-2020
Vivid Canyon,11,193,92,F,19-04-2019
True Sunshine,851,145,11,M,07-05-2019
Forward Thinking,188,436,357,F,26-01-2019
Eulogia Academy,911,599,976,M,16-02-2020
Forward Thinking,191,567,975,F,14-04-2019
Great Oak Secondary School,766,837,725,F,03-03-2019
Institute For Knowledge,135,404,516,M,29-04-2020
Laugh n’ Learn,659,141,881,M,20-10-2019
Central Technical School,63,814,797,M,01-05-2020
Tulip Tree,930,696,449,M,06-06-2020
All About Kids,753,411,762,M,12-11-2020
Westview Middle School,948,943,163,F,18-01-2020
Heroes College,203,711,877,F,09-04-2019
Head Of The Class,997,784,666,M,09-02-2019
Wagon Wheel School,472,196,923,F,25-08-2019
Central Technical School,905,379,993,M,06-10-2020
Great Oak University,481,425,384,F,26-07-2019
Star Reachers,820,942,233,M,11-02-2019
Broad River University,140,917,613,M,18-08-2019
Camelot Kids,694,123,263,F,02-08-2020
Better Tomorrow,596,914,459,F,04-09-2020
Willow Creek College,300,323,794,F,19-05-2020
Eagle Mountain University,347,49,274,F,27-03-2019
Stronger Scholars,735,806,922,F,17-02-2020
Desert Sands High,128,971,418,M,23-06-2020
Sunny Coast Middle School,473,666,863,M,21-02-2019
Whale Gulch Middle School,291,992,637,M,31-10-2019
Winters College,947,673,941,F,27-08-2019
Eastside Kindergarten,56,936,880,M,09-02-2019
Oak Hills Elementary,983,206,195,M,29-08-2020
Schooled In Success,918,700,987,M,27-11-2020
Foundations Academy,821,986,526,M,05-03-2019
Cypress Conservatory,151,39,404,M,04-02-2020
Westview Kindergarten,710,566,286,M,24-01-2020
Willow School for Girls,361,119,623,M,12-05-2019
Head Of The Class,823,669,873,M,09-09-2020
Wagon Wheel School,218,852,825,M,04-10-2019
Whee Preschool,49,704,883,M,22-09-2020
Elk Grove Middle School,685,115,680,M,16-03-2019
Forward Thinking,260,899,287,M,14-02-2020
Creating Champions,153,437,77,M,25-09-2019
Creating Champions,998,502,601,M,15-04-2020
Granite Bay School,427,71,746,M,14-06-2019
Creating Champions,452,864,524,M,16-05-2020
Timber Creek Secondary School,440,894,784,F,26-12-2020
Pioneer School for Girls,783,159,47,M,21-09-2019
Eastside Kindergarten,497,113,787,M,19-10-2020
Headstart,235,753,204,F,20-08-2019
Baby Stars,32,222,531,F,14-06-2019
Superstars,925,967,272,M,23-10-2020
Broad River University,951,319,790,F,19-04-2020
Eagle Mountain College,434,598,336,F,07-05-2020
Better Change,728,846,398,F,11-12-2019
Great Oak University,336,641,165,F,26-08-2019
Stonewall Charter School,129,932,159,M,05-01-2020
Five Star Students,7,952,584,M,23-03-2019
Accelerated Academy,719,811,623,F,08-06-2019
Apple Valley High,318,126,134,F,20-10-2019
Big Pine Grammar School,716,241,465,M,15-07-2019
Grounded To Grow,297,486,48,F,03-01-2019
Maple Ridge School for Boys,326,230,517,F,17-06-2020
Enterprise School,782,537,624,F,13-03-2020
Green Sprout,740,853,648,F,18-10-2020
Meadows University,24,522,961,F,27-09-2019
STEM PreSchool,160,541,312,M,23-11-2020
Desert Sands High,701,998,862,F,14-04-2020
Whale Gulch Middle School,550,65,653,M,14-08-2019
Eagle Mountain College,550,386,651,F,17-02-2020
Wisdom Academy,110,961,816,F,03-03-2020
Big Pine Grammar School,160,102,660,M,07-01-2020
Oakwood School of Fine Arts,618,553,490,F,11-11-2019
Eastside Kindergarten,752,779,815,F,10-02-2019
Schooled In Success,967,6,42,M,27-05-2019
Kids in Action,753,171,907,F,08-08-2020
Enterprise School,560,837,604,M,17-04-2019
Better life,592,603,989,M,23-10-2019
Headstart,991,731,953,F,07-11-2020
Riverdale College,798,470,955,F,30-10-2019
Eastwood High,159,867,620,M,05-05-2020
Golden Oak Secondary School,847,504,741,F,24-03-2020
We Care Childcare,565,824,788,F,28-01-2019
Five Star Students,728,91,358,M,01-01-2019
Better Change,909,591,493,F,25-05-2020
Straight A Academy,893,491,220,F,30-07-2019
Promise Conservatory,836,29,597,M,30-07-2019
Eagle Mountain University,20,160,518,F,29-06-2019
Broad River University,376,602,496,M,03-11-2019
Winters College,39,637,323,F,29-05-2019
Promise Conservatory,266,669,411,M,12-02-2020
Grounded To Grow,490,27,481,F,22-05-2019
All About Kids,811,184,830,F,07-04-2020
Sunny Coast Middle School,575,297,692,F,23-03-2020
Cypress University,288,834,763,M,09-05-2020
Eulogia Academy,782,878,251,M,06-07-2019
Laugh n’ Learn,612,831,251,M,15-05-2019
